Algorithm,Bot Type,Train Mean,Train Std,Test Mean,Test Std,Best Train,Best Test,Mean Time (s)
WOA,Complex 14D,43158.93500890481,2756.8240764893167,4237.882744289034,942.7645358375003,46659.447796595996,5862.437999125681,1.0908730416000254
PSO,Complex 14D,40516.04695332998,8117.205945917713,3796.665031389241,306.1397054864172,48682.81793133118,4099.028450028196,1.1730209834000107
Random,Complex 14D,33344.61844458491,1194.6211787845673,5358.8434303192125,2194.4843662829826,34675.83089547108,7604.033604808707,1.39020933339998
WOA,Simple 2D,40753.052029957486,192.87825544304593,592.9300329351354,54.44298517832343,40839.30980806793,617.2776760864842,0.5913974666000286
PSO,Simple 2D,40137.366741898746,1569.5924122889169,694.8894913759284,173.54529484435443,40839.30980806793,1005.3367525337045,0.5752052248000382
PSO pop 20,Sensitivity 14D,48183.05695872682,5134.771229597921,3214.6345530634176,615.5473687831387,56514.796934520986,4313.972396276086,1.1594816081998942
PSO pop 50,Sensitivity 14D,40516.04695332998,8117.205945917713,3796.665031389241,306.1397054864172,48682.81793133118,4099.028450028196,1.1802288169999429
PSO pop 100,Sensitivity 14D,46206.213377277505,5590.831155647259,3703.539979492061,297.1348377851029,55907.54756644682,3928.3963473453096,1.3254396667999573
Buy-and-Hold,Baseline,17924.710120123313,0.0,5660.26318654683,0.0,17924.710120123313,5660.26318654683,0.0
